block_time,from_addr,to_addr,value_usd,gas_price_gwei,gas_used,method_id,success,source,facilitator_addr,block_time_s,network,is_x402,baseline_eth_usd_assumption
2026-04-25 09:43:43+00:00,0xc60d31e60dadc334a43657b584395c24caeba883,0x10c140022927429afb5f7779f4bc5495da8c1e24,0.898763,0.01,81000.0,0xe3ee160e,True,dune_x402_live,0x8f5cb67b49555e614892b7233cfddebfb746e531,128.0,base,True,3000.0
2026-04-25 09:43:43+00:00,0x8f9ac214e8b6f2e2b0dfe7ef6597e6072da2f394,0xa9dd7cc9cbf0e05551332209289f04be36bc2315,0.001,0.01,85788.0,0xe3ee160e,True,dune_x402_live,0xa32ccda98ba7529705a059bd2d213da8de10d101,128.0,base,True,3000.0
2026-04-25 09:43:43+00:00,0x8f9ac214e8b6f2e2b0dfe7ef6597e6072da2f394,0xa9dd7cc9cbf0e05551332209289f04be36bc2315,0.001,0.01,85768.0,0xe3ee160e,True,dune_x402_live,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863,128.0,base,True,3000.0
2026-04-25 09:43:45+00:00,0x6b3fa9dd07fdab15a4b372d235dec382b78bfc62,0x10c140022927429afb5f7779f4bc5495da8c1e24,0.199056,0.01,81000.0,0xe3ee160e,True,dune_x402_live,0x8f5cb67b49555e614892b7233cfddebfb746e531,130.0,base,True,3000.0
2026-04-25 09:43:47+00:00,0xcd845cb99dde1c0989a77c6913e4517920f62d49,0x40a8cdd6a10ec1a8cb3dfb2834675e7a2cf4ad8b,0.005,0.01,85788.0,0xe3ee160e,True,dune_x402_live,0x97acce27d5069544480bde0f04d9f47d7422a016,132.0,base,True,3000.0
2026-04-25 09:43:47+00:00,0x3acbdb0631f7f33ff5da07202b80fca050c1e5d0,0x10c140022927429afb5f7779f4bc5495da8c1e24,0.629662,0.01,81000.0,0xe3ee160e,True,dune_x402_live,0xa32ccda98ba7529705a059bd2d213da8de10d101,132.0,base,True,3000.0
2026-04-25 09:43:51+00:00,0x3362567a839b70d13774748557f625a740dbb670,0x10c140022927429afb5f7779f4bc5495da8c1e24,0.532763,0.01,80976.0,0xe3ee160e,True,dune_x402_live,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af,136.0,base,True,3000.0
2026-04-25 09:43:55+00:00,0x9d051fe5c1e49f4ad2843f80e9026ddf015ac6e3,0x7d2ceb7a0e0c39a3d0f7b5b491659fde4bb7bcfe,0.05,0.01,85768.0,0xe3ee160e,True,dune_x402_live,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863,140.0,base,True,3000.0
2026-04-25 09:43:57+00:00,0x3cdeae64abdd414a406f8b6ba7db72d218b25de3,0x87a6cd8c67649cb1c2221d87fedc3fcf2b22b359,0.33,0.006,80932.0,0xe3ee160e,True,dune_x402_live,0xb5d25e1fa0718bf3e1bf698f96791d4e93632ec8,142.0,base,True,3000.0
2026-04-25 09:44:03+00:00,0x8f9ac214e8b6f2e2b0dfe7ef6597e6072da2f394,0xa9dd7cc9cbf0e05551332209289f04be36bc2315,0.001,0.01,85776.0,0xe3ee160e,True,dune_x402_live,0xa32ccda98ba7529705a059bd2d213da8de10d101,148.0,base,True,3000.0
