from_addr,composite_score,tier,inter_arrival_anomaly,tod_uniformity_anomaly,gas_tightness_anomaly,counterparty_concentration,method_concentration,burst_intensity,drift_signal,coordination,explanation
0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,39.60170678870673,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,50.56762881264182,57.32941652707437,inter-arrival CV 1.00 (bursty); coordinated with 545 other wallets; 100% of late-window tx to new counterparties
0xa35c47f491bee42777d77c3e47246c9b9af12981,26.986816815727448,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,3.7121255984880834,inter-arrival CV 1.07 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.001 (top-1% tightness)
0x047847bc455459f500db0ce185901aee1804f8fe,26.977581315686482,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,3.6505555982149787,inter-arrival CV 0.92 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.001 (top-1% tightness)
0x24dd3a9bf41b2dbfc17d7804251813ff6ebfeccb,26.968493286172002,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,3.5899687347850984,inter-arrival CV 0.82 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.003 (top-1% tightness)
0x1c679fcf603ab6ccdea929de1dd0fd3573d2a09c,26.930153550467978,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,6.430822396510563,2.2769325495702146,inter-arrival CV 0.23 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.000 (top-1% tightness)
0xed8f2fe03621869c1d0669d0bd59f0319ab9c3f7,26.908827474970924,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,3.192196660111245,inter-arrival CV 1.15 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.002 (top-1% tightness)
0xadcae230158a8f0128801b1ee77e0e473691000b,26.908827474970924,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,3.192196660111245,inter-arrival CV 1.09 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.001 (top-1% tightness)
0x7a4d403e442abf0e97939160d1cec497fb992463,26.908827474970924,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,3.192196660111245,inter-arrival CV 2.16 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.001 (top-1% tightness)
0x608d6f838086737d0579cd6f103a03b715070763,26.908827474970924,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,3.192196660111245,inter-arrival CV 1.08 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.002 (top-1% tightness)
0xac49453ab0cf65c337e6df5cc89a589e91c4e471,26.908827474970924,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,3.192196660111245,inter-arrival CV 1.17 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.002 (top-1% tightness)
0x9ec073415ff09189fb635931f5f0ba6427026ff1,26.908827474970924,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,3.192196660111245,inter-arrival CV 1.21 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.001 (top-1% tightness)
0x9d941731c68d1c7e6a98f5f31fd45695d2c9a436,26.908827474970924,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,3.192196660111245,inter-arrival CV 1.07 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.001 (top-1% tightness)
0x86ee395aa7cb07e6b033ed17f502d6672acaa73d,26.908827474970924,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,3.192196660111245,inter-arrival CV 1.10 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.001 (top-1% tightness)
0x1bd34218fefbaa01b98100edd2b3d813199a1ac5,26.908827474970924,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,3.192196660111245,inter-arrival CV 1.07 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.001 (top-1% tightness)
0xcbec1bbc0dd8e97d6b2e56f1805a1571dddcc031,26.908827474970924,medium,100.0,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,18.242552380635637,4.844665475728493,3.192196660111245,inter-arrival CV 0.28 (bursty); 24h-uniform timing (KS 0.96); gas-to-basefee std 0.000 (top-1% tightness)
